source,title,is_clickbait
aljazeera.com,Turkish police believe Khashoggi killed inside Saudi consulate | Saudi Arabia News
aljazeera.com,Syria rebels begin moving heavy arms from Idlib buffer zone | Turkey News
aljazeera.com,Is Lebanon cracking down on government critics? | Lebanon News
aljazeera.com,"Two Israelis killed, third wounded, in West Bank shooting  | IsraeliâPalestinian conflict News"
aljazeera.com,Israel to reduce Gaza fishing zone by one-third |  News
aljazeera.com,Iraqis suffer with no water or electricity after ISIL's defeat | Iraq News
aljazeera.com,The EU-Sisi deal shows Egyptian lives don't matter in Brussels | European Union
aljazeera.com, Sub-Saharans in Tangier pray to be 'lucky ones' who reach Spain | Refugees
aljazeera.com,"After the Sochi agreement, HTS is facing internal divisions | Battle for Idlib"
aljazeera.com,"Cameroon vote count begins, President Paul Biya likely to return  |  News"
aljazeera.com,"Cameroon election: Polls closes, vote counting under way | Elections 2018 News"
aljazeera.com,Polls open in Cameroon as President Biya seeks seventh term |  News
aljazeera.com,DR Congo: Dozens killed in oil tanker collision | DR Congo News
aljazeera.com,Gabon heads to the polls to elect members of parliament |  News
aljazeera.com,Cameroon opposition forms coalition ahead of polls |  News
aljazeera.com,"Death, displacement, trauma: Human cost of the Anglophone crisis | Africa"
aljazeera.com,DR Congo: Six dead in Beni after suspected ADF attack | DR Congo News
aljazeera.com,Rwandan opposition activist Diane Rwigara released on bail | Rwanda News
aljazeera.com,"Denis Mukwege, Nadia Murad awarded 2018 Nobel Peace Prize |  News"
aljazeera.com,Zimbabwe to give 1.4m cholera vaccines this week | Zimbabwe News
aljazeera.com,The politics of second-hand clothes: A debate over 'dignity' | Africa
aljazeera.com,Senegal the first African country to host Olympic Games | Senegal News
aljazeera.com,Why Bobi Wine is likely to fail if he takes power in Uganda | Africa
aljazeera.com,"To solve Africa's problems, give women a chance | Poverty & Development"
aljazeera.com,Anglophone crisis looms over Cameroon's presidential election | Africa
aljazeera.com,"#MeToo: Women journalists, writers in India name sexual harassers |  News"
aljazeera.com,"Taliban kill 10 policemen, destroy bridges according to officials |  News"
aljazeera.com,'Extremely ill' Khaleda Zia admitted to Dhaka hospital |  News
aljazeera.com,China tight-lipped on Interpol chief Meng Hongwei's disappearance |  News
aljazeera.com,"Tsukiji, Tokyo's famed fish market, closes down after 83 years |  News"
aljazeera.com,Interpol chief Meng Hongwei goes missing on China visit  | China News
aljazeera.com,"In Indonesia, anger builds at 'slow' disaster recovery effort | Indonesia News"
aljazeera.com,"Over 70,000 homeless after Indonesia disaster | Indonesia News"
aljazeera.com,India signs S-400 deal with Russia sidestepping US opposition | India
aljazeera.com,India signs $5bn deal to purchase Russian S-400 missile system | India News
aljazeera.com,Oman on alert as tropical cyclone begins to form in Arabian Sea |  News
aljazeera.com,Putin arrives in India for arms deal worth billions of dollars | India News
aljazeera.com,India criticised for deporting seven Rohingya men to Myanmar | India News
aljazeera.com,India plans face recognition technology to decongest airports | India News
aljazeera.com,How Moon saved Trump's negotiations with Kim | North Korea
aljazeera.com,The Afghan government is failing to deliver on its promises | Afghanistan
aljazeera.com,Modi's Hindu nationalism is stumbling | Bharatiya Janata Party
aljazeera.com,The Maldives: The rise and fall of a Muslim democracy | Asia
aljazeera.com,Fears of violence as Nepal cracks down on Maoist splinter group | Nepal
aljazeera.com,"In Jharkhand, a tribal assertion met with fierce police crackdown | Asia"
aljazeera.com,Chicago's Sip of Hope - a cafe where it's OK not to be OK |  News
aljazeera.com,SUV-style stretch limousine crash kills 20 in New York: Officials |  News
aljazeera.com,Could Texas become a Democratic stronghold? | US Midterms 2018 News
aljazeera.com,"Who is Brett Kavanaugh, US Supreme Court's new judge | Trump News"
aljazeera.com,Brett Kavanaugh sworn in as US Supreme Court justice |  News
aljazeera.com,Kavanaugh Supreme Court confirmation: All the latest updates  |  News
aljazeera.com,Kavanaugh set for Supreme Court confirmation | USA News
aljazeera.com,One thousand singers perform in NYC for The Mile-Long Opera | USA News
aljazeera.com,"After FBI report, Kavanaugh moves closer to Senate confirmation | USA News"
aljazeera.com,"Pompeo to discuss North Korea with Japan, China and South Korea |  News"
aljazeera.com,Kavanaugh controversy: How we got here and what happens next | USA News
aljazeera.com,Saudi Arabia's Mohammed bin Salman: 'I love working with Trump' | Trump News
aljazeera.com,White Chicago cop convicted of murder in shooting of black teen |  News
aljazeera.com,Is the new trade deal replacing NAFTA a win-win-win situation? | USA
aljazeera.com,Could the Kavanaugh controversy affect the US midterm elections? | US & Canada
aljazeera.com,Greyston Bakery's hiring gives ex-cons a chance | USA News
aljazeera.com,"We need social justice, not just more women in Congress | Women's Rights"
aljazeera.com,Kavanaugh and white boys' club politics in the US | USA
aljazeera.com,MeToo founder: Kavanaugh debate shows 'more education is needed' | USA
aljazeera.com,"Trump travel ban: Waiver process remains long, unclear | USA"
aljazeera.com,Women entering politics in record numbers could mean trouble for Trump | USA
aljazeera.com,"Who is Jair Bolsonaro, Brazil's far-right presidential candidate? | Brazil News"
aljazeera.com,"Who is Fernando Haddad, Brazil's leftist presidential candidate? | Brazil News"
aljazeera.com,Brazil elections 2018: Vote counting begins in polarised polls | Brazil News
aljazeera.com,Brazil elections 2018: What you need to know | Brazil News
aljazeera.com,Third Youth Olympic Games kicks off in Buenos Aires | Argentina News
